Name,Age_final,Month_BirthDay,Quarter_REA,Half_REA,Cadet_Win,Cadet_Success,Cadet_Part,Junior_Win,Junior_Success,Junior_Part,Senior_Win_CC,Senior_Success_CC,Senior_Part_CC,Senior_Win_WC,Senior_Success_WC,Senior_Part_WC,target_rank,target_group,target_medalist
"Abdelmottaleb, Diaaeldin Kamal Gouda",24,5,2,0,0,0,0,0,0,0,1,1,1,0,0,1,16.0,2.0,1
"Abdurakhmanov, Bekzod",27,3,1,0,0,0,0,0,0,0,2,2,2,0,1,2,5.0,1.0,1
"Aguigui, Ethan Mikquin Tomapa",24,3,1,0,0,0,0,1,2,2,1,4,4,0,0,0,27.0,2.0,1
"Ailixiati, Airiken",24,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,28.0,2.0,1
"Akaguma, Naoya",26,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,2.0,1
"Akgul, Taha",27,11,4,1,0,0,0,0,1,2,4,4,5,2,3,3,2.0,0.0,0
"Alborov, Aslanbek",26,4,2,0,0,1,1,1,4,5,0,0,0,0,0,0,3.0,0.0,0
"Alekma, Saifedine",23,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,2.0,1
"Aliev, Haji",26,4,2,0,0,1,1,0,1,1,1,3,5,2,2,3,1.0,0.0,0
"Amas, Daniel",27,4,2,0,0,0,0,0,0,0,3,4,4,0,0,1,23.0,2.0,1
"Ambrocio Greifo, Pool Edison",27,12,4,1,1,3,3,2,4,4,0,3,8,0,0,2,30.0,2.0,1
"Amiraslanov, Makhir",20,5,2,0,0,3,4,1,2,2,0,0,1,0,0,1,18.0,2.0,1
"Ansari, Chakir",26,6,2,0,0,0,1,0,0,5,0,1,2,0,0,1,25.0,2.0,1
"Ashirov, Meizhan",25,1,1,0,0,0,0,0,3,3,0,0,1,0,0,0,17.0,2.0,1
"Asselstine, Michael",28,10,4,1,0,0,0,0,0,0,0,1,2,0,0,1,23.0,2.0,1
"Atli, Suleyman",23,7,3,1,0,0,1,2,2,3,0,0,1,0,0,0,15.0,2.0,1
"Atrinagharchi, Reza Ahmadali",23,8,3,1,0,0,0,0,1,2,0,0,0,0,0,0,13.0,2.0,1
"Auccapina Pedragas, Sixto Miguel",22,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,26.0,2.0,1
"Balfour, Jevon",23,12,4,1,0,0,0,0,1,2,0,1,2,0,0,1,24.0,2.0,1
